Fonction;ncalls
upemtk.py (event_handler_button1);15
upemtk.py (event_handler_motion);981
upemtk.py (CustomCanvas);1
upemtk.py (cree_fenetre);1
__init__.py (update);250440
__init__.py (BaseWidget);1
__init__.py (__init__);1
__init__.py (Entry);1
__init__.py (Tk);1
__init__.py (Checkbutton);1
__init__.py (Scrollbar);1
__init__.py (delete);1945
__init__.py (PanedWindow);1
font.py (__del__);1842
selectors.py (BaseSelector);1
selectors.py (SelectSelector);1
selectors.py (EpollSelector);1
__init__.py (_check_size);14
random.py (_randbelow_with_getrandbits);7
contextlib.py (contextmanager);1
upemtk.py (texte);1841
upemtk.py (ferme_fenetre);1
__init__.py (Menu);1
menu.py (choose_colors);1
colors.py (melangeur_colors);2
buttons.py (f_boutons);12
interface.py (crayon);10
__init__.py (_VersionInfoType);1
functools.py (update_wrapper);1
__init__.py (compile);3
enum.py (_is_dunder);88
enum.py (_is_sunder);80
enum.py (_iter_member_by_value_);3
_compiler.py (_simple);2
__init__.py (escape);1
_compiler.py (_code);3
enum.py (_get_value);21
_compiler.py (_mk_bitmap);4
_parser.py (__init__);3
_parser.py (match);63
_parser.py (tell);30
enum.py (<lambda>);41
enum.py (value);2
enum.py (<lambda>);2
enum.py (_simple_enum);4
enum.py (_is_descriptor);80
enum.py (_iter_member_by_def_);3
enum.py (__members__);3
_compiler.py (_combine_flags);12
_parser.py (groups);18
_compiler.py (isstring);6
_parser.py (__len__);25
_parser.py (__setitem__);3
enum.py (__init__);75
enum.py (__call__);1036
_compiler.py (_generate_overlap_table);1
enum.py (__set_name__);80
_parser.py (closegroup);6
_parser.py (__init__);18
_parser.py (append);20
_parser.py (get);326
_parser.py (seek);1
_parser.py (_uniq);6
_parser.py (__getitem__);65
enum.py (__setattr__);89
_parser.py (fix_flags);3
__init__.py (destroy);1
__init__.py (Grid);1
__init__.py (_create);1943
_parser.py (__next);388
<built-in method _tkinter._flatten>;3887
<built-in method _tkinter.create>;1
<method 'call' of '_tkinter.tkapp' objects>;261708
<method 'getvar' of '_tkinter.tkapp' objects>;2
<method 'getint' of '_tkinter.tkapp' objects>;17162
<method 'getboolean' of '_tkinter.tkapp' objects>;2058
<method 'splitlist' of '_tkinter.tkapp' objects>;1842
<method 'createcommand' of '_tkinter.tkapp' objects>;9
<method 'deletecommand' of '_tkinter.tkapp' objects>;9
<method 'disable' of '_lsprof.Profiler' objects>;1
_parser.py (opengroup);6
enum.py (__or__);1
enum.py (__and__);6
types.py (__init__);80
enum.py (_is_private);80
enum.py (_iter_bits_lsb);3
functools.py (wraps);1
__init__.py (<genexpr>);17
functools.py (__init__);1
__init__.py (find_spec);38
functools.py (__set_name__);1
_parser.py (__init__);3
_parser.py (getuntil);4
_compiler.py (_get_iscased);7
_parser.py (checkgroupname);4
__init__.py (<lambda>);35
