Fonction;ncalls
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:33:__init__;1
/usr/lib/python3.12/tkinter/__init__.py:2325:__init__;1
/usr/lib/python3.12/ctypes/__init__.py:265:_reset_cache;1
/usr/lib/python3.12/ctypes/_endian.py:1:<module>;1
/usr/lib/python3.12/tkinter/font.py:1:<module>;1
/usr/lib/python3.12/selectors.py:1:<module>;1
/usr/lib/python3.12/ctypes/__init__.py:343:__init__;1
/usr/lib/python3.12/ctypes/__init__.py:1:<module>;1
/usr/lib/python3.12/subprocess.py:695:_use_posix_spawn;1
/usr/lib/python3.12/subprocess.py:749:Popen;1
/usr/lib/python3.12/subprocess.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/game.py:15:VAINQUEUR;1
/home/cedric-mc/public_html/BatailleBoules/avant/buttons.py:7:default_buttons;1
/usr/lib/python3.12/random.py:135:seed;1
/home/cedric-mc/public_html/BatailleBoules/avant/game.py:87:GAME;1
/home/cedric-mc/public_html/BatailleBoules/avant/menu.py:52:MENU;1
/usr/lib/python3.12/random.py:1:<module>;1
/usr/lib/python3.12/platform.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/menu.py:26:boutons;1
/usr/lib/python3.12/string.py:69:__init_subclass__;1
/home/cedric-mc/public_html/BatailleBoules/avant/texte.py:104:enter_numbers;1
/home/cedric-mc/public_html/BatailleBoules/avant/colors.py:7:colors;1
/home/cedric-mc/public_html/BatailleBoules/avant/colors.py:120:choose_colors;1
/home/cedric-mc/public_html/BatailleBoules/avant/restart.py:7:RESTART;1
/home/cedric-mc/public_html/BatailleBoules/avant/restart.py:1:<module>;1
~:0:<built-in method _ctypes.dlopen>;1
/usr/lib/python3.12/random.py:126:__init__;1
/usr/lib/python3.12/random.py:876:SystemRandom;1
/home/cedric-mc/public_html/BatailleBoules/avant/menu.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/colors.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/texte.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/interface.py:1:<module>;1
/usr/lib/python3.12/tkinter/__init__.py:4081:Image;1
/usr/lib/python3.12/selectors.py:341:_PollLikeSelector;1
/usr/lib/python3.12/selectors.py:433:PollSelector;1
/usr/lib/python3.12/tkinter/__init__.py:4042:OptionMenu;1
/usr/lib/python3.12/selectors.py:60:_SelectorMapping;1
/usr/lib/python3.12/ctypes/__init__.py:157:py_object;1
/usr/lib/python3.12/ctypes/__init__.py:373:_FuncPtr;1
/usr/lib/python3.12/struct.py:1:<module>;1
<string>:1:<lambda>;1
/usr/lib/python3.12/platform.py:794:_Processor;1
/home/cedric-mc/public_html/BatailleBoules/avant/joueur.py:1:<module>;1
/home/cedric-mc/public_html/BatailleBoules/avant/buttons.py:1:<module>;1
/usr/lib/python3.12/subprocess.py:470:CompletedProcess;1
/usr/lib/python3.12/subprocess.py:123:SubprocessError;1
<string>:1:<module>;1
/usr/lib/python3.12/ctypes/__init__.py:166:c_short;1
/usr/lib/python3.12/ctypes/__init__.py:170:c_ushort;1
/usr/lib/python3.12/ctypes/__init__.py:174:c_long;1
/usr/lib/python3.12/ctypes/__init__.py:178:c_ulong;1
/usr/lib/python3.12/ctypes/__init__.py:187:c_int;1
/usr/lib/python3.12/ctypes/__init__.py:191:c_uint;1
/usr/lib/python3.12/ctypes/__init__.py:195:c_float;1
/usr/lib/python3.12/ctypes/__init__.py:199:c_double;1
/usr/lib/python3.12/ctypes/__init__.py:203:c_longdouble;1
/usr/lib/python3.12/ctypes/__init__.py:224:c_ubyte;1
/usr/lib/python3.12/ctypes/__init__.py:231:c_byte;1
/usr/lib/python3.12/ctypes/__init__.py:236:c_char;1
/usr/lib/python3.12/ctypes/__init__.py:247:c_void_p;1
/usr/lib/python3.12/ctypes/__init__.py:252:c_bool;1
/usr/lib/python3.12/ctypes/__init__.py:262:c_wchar;1
/home/cedric-mc/public_html/BatailleBoules/avant/game.py:1:<module>;1
/usr/lib/python3.12/random.py:110:Random;1
/home/cedric-mc/public_html/BatailleBoules/avant/texte.py:90:surname;1
/usr/lib/python3.12/selectors.py:206:_BaseSelectorImpl;1
/usr/lib/python3.12/ctypes/__init__.py:322:CDLL;1
/usr/lib/python3.12/ctypes/__init__.py:442:LibraryLoader;1
/home/cedric-mc/public_html/BatailleBoules/avant/calcul.py:1:<module>;1
/usr/lib/python3.12/string.py:188:Formatter;1
/home/cedric-mc/public_html/BatailleBoules/avant/variantes.py:149:obstacles;1
/usr/lib/python3.12/random.py:222:__init_subclass__;1
/home/cedric-mc/public_html/BatailleBoules/avant/buttons.py:47:quit_button;1
/usr/lib/python3.12/string.py:1:<module>;1
/usr/lib/python3.12/ctypes/_endian.py:34:_swapped_struct_meta;1
/usr/lib/python3.12/ctypes/_endian.py:35:_swapped_union_meta;1
/usr/lib/python3.12/bisect.py:1:<module>;1
/usr/lib/python3.12/string.py:57:Template;1
main.py:9:INTERFACE;1
/usr/lib/python3.12/tkinter/__init__.py:367:Variable;1
/usr/lib/python3.12/tkinter/__init__.py:2456:pack_configure;1
/usr/lib/python3.12/tkinter/__init__.py:2451:Pack;1
/usr/lib/python3.12/tkinter/__init__.py:213:Event;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:102:TypeEvenementNonValide;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:106:FenetreNonCree;1
/home/cedric-mc/public_html/BatailleBoules/avant/upemtk.py:110:FenetreDejaCree;1
/usr/lib/python3.12/tkinter/__init__.py:2666:Widget;1
/usr/lib/python3.12/tkinter/__init__.py:548:StringVar;1
/usr/lib/python3.12/tkinter/__init__.py:572:IntVar;1
/usr/lib/python3.12/tkinter/__init__.py:597:DoubleVar;1
/usr/lib/python3.12/tkinter/__init__.py:618:BooleanVar;1
/usr/lib/python3.12/tkinter/__init__.py:1974:XView;1
/usr/lib/python3.12/tkinter/__init__.py:1995:YView;1
/usr/lib/python3.12/tkinter/__init__.py:2704:Button;1
/usr/lib/python3.12/tkinter/font.py:26:Font;1
